mag,ra,dec
21,14.203219,-0.588179
20.1,17.833107,22.683357
19.74,14.478657,33.176703
19.57,11.363683,-13.218445
19.4,11.887989,-7.375136
19.11,10.817605,5.040578
18.8,8.893343,-3.49008
18.6,14.941033,17.918345
18.44,8.541916,-1.575998
18.4,5.629428,79.541084
18.32,4.438892,3.61099
18.23,18.722753,40.672072
18.02,3.84994,-0.877712
18,3.380079,27.144703
18,7.660169,33.467206
18,12.488011,53.550068
17.98,17.926083,58.405276
17.9,23.648876,21.020922
17.89,11.898074,6.997776
17.88,14.51166,59.717783
17.82,12.835801,54.785315
17.7,22.437138,2.999749
17.68,8.675112,18.400296
17.6,11.794926,0.250991
17.52,19.28281,5.148625
17.46,2.468244,3.179135
17.4,0.228064,80.665318
17.4,7.533617,57.916503
17.4,23.279506,-40.795679
17.34,0.535911,-2.900195
17.3,0.859893,-22.910033
17.29,4.771299,48.750101
17.14,22.481691,-13.422308
17.11,4.439022,4.543983
17.05,13.216483,-47.469579
17.05,14.944004,-28.165379
17,4.370699,15.516229
17,8.039103,3.331114
17,12.915399,-6.334945
16.99,14.474767,45.907929
16.98,7.837231,7.198049
16.97,9.093681,73.248138
16.87,20.092916,-10.949194
16.86,2.776303,16.420875
16.78,16.926474,-8.395842
16.77,3.236543,28.679658
16.7,2.340216,37.792268
16.69,7.837508,7.194697
16.67,3.582387,28.258827
16.6,20.946253,-4.844744
16.59,7.762022,-33.919724
16.58,12.417054,23.387151
16.57,7.01424,31.964209
16.5,0.370909,42.611962
16.5,2.802468,27.074291
16.5,9.546703,26.995977
16.5,10.760817,-19.113784
16.48,14.790219,-17.706073
16.47,5.793468,69.747763
16.46,7.56452,22.39426
16.46,10.648823,-20.682637
16.42,7.672348,-17.413251
16.41,9.729696,-7.063326
16.39,11.762785,63.099159
16.38,7.558673,64.159795
16.37,6.34674,6.755984
16.32,12.312552,29.759332
16.3,0.743168,-18.952208
16.3,5.97153,-4.632901
16.3,14.7444,-22.246314
16.2,2.282333,42.967617
16.2,10.525217,57.088131
16.17,21.224744,7.436102
16.13,16.464805,9.203848
16.12,3.419638,-1.818863
16.1,23.594911,6.185398
16.1,23.996567,47.762093
16.05,0.341252,33.087264
16,2.617673,6.901559
16,9.311488,26.765523
16,12.990002,7.731934
16,13.14127,85.041151
16,18.894963,-38.616127
15.99,2.285961,35.4434
15.98,22.773765,-6.657564
15.97,5.098023,-17.378146
15.96,11.013393,12.061814
15.95,15.917977,33.846944
15.9,0.236939,-13.183654
15.9,15.096919,-7.245963
15.89,5.234186,8.006434
15.89,13.189255,28.560864
15.87,4.007416,8.236274
15.87,22.058056,78.279092
15.86,2.770639,-4.987347
15.84,12.709384,77.889024
15.83,13.686674,30.031954
15.8,4.612552,27.16566
15.8,17.621667,-54.438433
15.8,21.980401,-32.441477
15.79,2.275314,13.594943
15.79,12.191358,57.401977
15.79,13.002522,3.476887
15.77,4.37039,19.486785
15.76,2.544001,-14.197209
15.75,13.19628,25.340224
15.75,23.444481,-46.846968
15.72,8.511028,32.699032
15.72,20.232049,6.709687
15.72,23.831738,29.567389
15.7,22.932212,5.756269
15.69,13.881237,66.816623
15.68,6.789491,2.519804
15.68,7.170675,37.671098
15.67,8.432069,69.038815
15.66,22.16319,14.495462
15.65,13.801,23.579437
15.65,16.672695,67.602032
15.65,18.355259,61.014146
15.65,22.898146,-6.782264
15.61,2.037337,10.337364
15.6,3.712961,-24.46121
15.6,10.803471,-11.336727
15.6,18.40101,-13.147641
15.58,20.839089,26.508775
15.56,9.339068,26.730044
15.56,12.804733,58.341175
15.53,2.775094,-2.45629
15.53,14.964527,56.654821
15.52,5.396867,22.546634
15.52,22.856204,29.66217
15.51,16.072137,-6.280874
15.5,0.791709,-36.955203
15.5,4.431462,12.197744
15.5,10.57414,46.307524
15.5,10.748676,32.407894
15.5,14.940757,17.914998
15.5,18.505852,54.789391
15.5,23.873318,-14.690523
15.48,13.113064,30.859355
15.42,0.411699,-27.147825
15.42,23.240333,-6.548251
15.41,14.449744,23.797525
15.41,15.462474,-9.028458
15.4,8.847825,52.898138
15.39,18.287451,68.5458
15.37,10.03044,14.691415
15.37,19.377891,29.42962
15.37,19.404267,75.554496
15.36,10.985182,30.25269
15.36,19.956558,-12.56533
15.35,21.904405,-43.602723
15.33,3.383841,42.009647
15.32,0.598632,10.476375
15.32,2.810082,54.388169
15.32,12.280905,2.969223
15.32,13.803766,23.61286
15.3,13.671502,47.208293
15.3,13.939102,-28.064498
15.29,14.893726,11.569003
15.28,5.703557,-5.463772
15.27,4.375574,39.014815
15.27,7.03144,-6.452051
15.25,0.930594,-11.458015
15.21,4.847341,22.125547
15.21,19.827075,8.205684
15.2,9.838137,53.253606
15.19,3.742846,18.437389
15.19,17.135359,2.958323
15.18,8.987494,32.953206
15.17,8.808083,61.152818
15.17,16.029177,30.460699
15.16,2.624854,0.35665
15.16,19.137786,26.582558
