mag,ra,dec
-26.7,0,0
9.1,0.00006,1.089009
9.27,0.000283,-19.49884
6.61,0.000335,38.859279
8.06,0.000569,-51.893546
8.55,0.000665,-40.591202
12.31,0.001246,3.946458
9.64,0.00147,20.036114
9.05,0.001823,25.886461
8.59,0.002355,36.585958
8.59,0.002424,-50.866976
7.34,0.002488,46.939997
8.43,0.002727,-35.960225
8.8,0.00278,-22.594705
7.25,0.003228,-0.36045
8.6,0.003356,50.791187
8.15,0.003401,-40.192392
11.71,0.003469,-54.914363
11.03,0.003522,-4.05368
6.53,0.003554,38.30405
8.51,0.004203,23.529228
7.55,0.004426,8.007234
8.69,0.004674,-49.352266
7.57,0.004971,13.312234
9.05,0.005091,-23.452695
6.28,0.0053,-44.290561
9.13,0.005606,-13.393378
9.32,0.00572,-41.297813
8.83,0.005815,-43.361821
9.14,0.006146,-49.107945
8.26,0.006408,42.141474
7.63,0.006539,2.675477
9.09,0.006572,51.939487
8.1,0.006611,-10.462385
6.43,0.006638,26.918108
9.07,0.006864,-14.490484
7.68,0.006893,12.267128
10.44,0.007022,-47.179567
8.65,0.007429,-79.061983
7.46,0.007485,-16.697009
8.7,0.007771,54.302236
10.61,0.008131,67.216783
8.2,0.008362,25.844765
6.18,0.008593,59.559679
7.91,0.00885,-3.306323
9.59,0.008941,-72.202717
8.57,0.008972,-25.622285
10.78,0.009006,-56.835602
7.31,0.009015,-40.690474
9.53,0.009304,16.669049
6.49,0.009533,-53.097713
8.94,0.009561,1.066213
8.56,0.009781,-77.020116
10.96,0.009828,-29.263414
10.57,0.01017,17.968908
7.4,0.010549,-66.683173
8.12,0.010862,0.222931
8.27,0.011212,-69.675965
7.05,0.011577,62.175898
9.09,0.01163,55.72246
8.34,0.011695,-64.465799
8.86,0.011749,53.822146
8.27,0.011998,-45.422739
6.36,0.012119,45.253334
8.08,0.012305,-27.907582
11,0.012498,-54.830524
8.55,0.012567,-72.31822
7.83,0.013288,23.538219
8.79,0.01336,16.988197
8.33,0.013427,30.39589
10.42,0.013512,36.777637
8.26,0.013803,36.780106
8.97,0.014661,-12.828961
6.9,0.014694,66.848011
9.93,0.014817,35.752624
7.42,0.014882,-50.446459
9.03,0.015214,32.825654
8.41,0.015371,-30.064166
8.06,0.015487,17.867851
8.69,0.015718,35.31672
8.4,0.016187,-11.823739
8.57,0.016228,-4.932534
9.5,0.016534,-10.935963
8.85,0.016538,52.080562
9.61,0.016824,27.88633
10.62,0.017075,-24.714048
8.05,0.017361,69.603505
7.8,0.017433,-5.835002
5.71,0.017941,-48.809876
7.87,0.018477,53.166943
7.64,0.018671,-41.887544
7.66,0.018702,-5.874348
8.68,0.019379,-20.70555
8.12,0.01949,-0.076098
10.1,0.019665,-32.756836
8.67,0.020134,-11.964034
10.46,0.02033,13.975088
9.87,0.020478,-52.798575
9.48,0.020492,-21.404042
7.04,0.021069,60.355282
8.44,0.021092,19.741243
9.88,0.021315,-47.793831
7.05,0.021365,-41.487437
8.29,0.021475,-68.371127
9.34,0.021776,-31.899618
7.73,0.021855,70.928938
6.22,0.022013,49.981558
5.53,0.022255,-50.337373
8.53,0.022439,-70.125272
7.23,0.023106,6.79147
8.61,0.023242,39.610717
11.28,0.023314,34.281848
10.76,0.023843,-16.948446
8.93,0.024375,49.010406
7.95,0.024777,30.735785
7.46,0.024839,-62.92313
8.6,0.025022,-33.792771
8.55,0.025363,-72.605899
9.2,0.025773,-9.430033
6.82,0.026012,44.675401
8.29,0.026396,-45.344759
6.83,0.026429,28.423691
4.78,0.026616,-77.065724
7.21,0.026675,72.236615
5.58,0.026949,61.222801
8.7,0.026979,-39.336748
8.06,0.027255,14.632324
10.86,0.027479,-48.935619
6.5,0.027597,73.611846
9.32,0.027708,5.372808
9.14,0.027886,-30.692537
8.13,0.027994,62.018087
10.62,0.028135,-34.653545
6.62,0.02823,-40.148702
9.96,0.028346,-1.13996
8.64,0.028453,-0.217777
6.6,0.028579,24.253113
6.25,0.028847,42.367144
7.83,0.029162,-16.531661
10.03,0.029686,67.506975
9.04,0.030195,-68.104897
8.47,0.030232,36.350358
7.33,0.030251,66.306032
